municipio,pre_2013,pos_2013,sede,tipo_alteracao
Albergaria-a-Velha,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA E VALMAIOR,ALBERGARIA-A-VELHA,criada por agregação
Albergaria-a-Velha,ALQUERUBIM,ALQUERUBIM,ALQUERUBIM,sem alteração
Albergaria-a-Velha,ANGEJA,ANGEJA,ANGEJA,sem alteração
Albergaria-a-Velha,BRANCA,BRANCA,BRANCA,sem alteração
Albergaria-a-Velha,FROSSOS,SÃO JOÃO DE LOURE E FROSSOS,SÃO JOÃO DE LOURE,criada por agregação
Albergaria-a-Velha,RIBEIRA DE FRÁGUAS,RIBEIRA DE FRÁGUAS,RIBEIRA DE FRÁGUAS,sem alteração
Albergaria-a-Velha,SÃO JOÃO DE LOURE,SÃO JOÃO DE LOURE E FROSSOS,SÃO JOÃO DE LOURE,criada por agregação
Albergaria-a-Velha,VALMAIOR,ALBERGARIA-A-VELHA E VALMAIOR,ALBERGARIA-A-VELHA,criada por agregação
Albufeira,ALBUFEIRA,ALBUFEIRA E OLHOS DE ÁGUA,ALBUFEIRA,criada por agregação
Albufeira,FERREIRAS,FERREIRAS,FERREIRAS,sem alteração
Albufeira,GUIA,GUIA,GUIA,sem alteração
Albufeira,OLHOS DE ÁGUA,ALBUFEIRA E OLHOS DE ÁGUA,ALBUFEIRA,criada por agregação
Albufeira,PADERNE,PADERNE,PADERNE,sem alteração
Alcanena,ALCANENA,UNIÃO DAS FREGUESIAS DE ALCANENA E VILA MOREIRA,ALCANENA,criada por agregação
Alcanena,BUGALHOS,BUGALHOS,BUGALHOS,sem alteração
Alcanena,ESPINHEIRO,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",MALHOU,criada por agregação
Alcanena,LOURICEIRA,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",MALHOU,criada por agregação
Alcanena,MALHOU,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",MALHOU,criada por agregação
Alcanena,MINDE,MINDE,MINDE,sem alteração
Alcanena,MOITAS VENDA,MOITAS VENDA,MOITAS VENDA,sem alteração
Alcanena,MONSANTO,MONSANTO,MONSANTO,sem alteração
Alcanena,SERRA DE SANTO ANTÓNIO,SERRA DE SANTO ANTÓNIO,SERRA DE SANTO ANTÓNIO,sem alteração
Alcanena,VILA MOREIRA,UNIÃO DAS FREGUESIAS DE ALCANENA E VILA MOREIRA,ALCANENA,criada por agregação
Alcácer do Sal,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,ALCÁCER DO SAL (SANTIAGO),criada por agregação
Alcácer do Sal,ALCÁCER DO SAL (SANTIAGO),UNIÃO DAS FREGUESIAS DE ALCÁCER DO SAL (SANTA MARIA DO CASTELO E SANTIAGO) E SANTA SUSANA,ALCÁCER DO SAL (SANTIAGO),criada por agregação
Alcácer do Sal,COMPORTA,COMPORTA,COMPORTA,sem alteração
