municipio,antiga,nova,territorio,total,sede
Bragança,MEIXEDO,"UNIÃO DAS FREGUESIAS DE SÉ, SANTA MARIA E MEIXEDO",Nenhuma,"UNIÃO DAS FREGUESIAS DE SÉ, SANTA MARIA E MEIXEDO",BRAGANÇA (SÉ)
Bragança,,,Nenhuma,ALFAIÃO,ALFAIÃO
Bragança,,,Nenhuma,BABE,BABE
Bragança,,,Nenhuma,BAÇAL,BAÇAL
Bragança,,,Nenhuma,CARRAGOSA,CARRAGOSA
Bragança,,,Nenhuma,CASTRO DE AVELÃS,CASTRO DE AVELÃS
Bragança,,,Nenhuma,COELHOSO,COELHOSO
Bragança,,,Nenhuma,DONAI,DONAI
Bragança,,,Nenhuma,ESPINHOSELA,ESPINHOSELA
Bragança,,,Nenhuma,FRANÇA,FRANÇA
Bragança,,,Nenhuma,GIMONDE,GIMONDE
Bragança,,,Nenhuma,GONDESENDE,GONDESENDE
Bragança,,,Nenhuma,GOSTEI,GOSTEI
Bragança,,,Nenhuma,GRIJÓ DE PARADA,GRIJÓ DE PARADA
Bragança,,,Nenhuma,MACEDO DO MATO,MACEDO DO MATO
Bragança,,,Nenhuma,MÓS,MÓS
Bragança,,,Nenhuma,NOGUEIRA,NOGUEIRA
Bragança,,,Nenhuma,OUTEIRO,OUTEIRO
Bragança,,,Nenhuma,PARÂMIO,PARÂMIO
Bragança,,,Nenhuma,PINELA,PINELA
Bragança,,,Nenhuma,QUINTANILHA,QUINTANILHA
Bragança,,,Nenhuma,QUINTELA DE LAMPAÇAS,QUINTELA DE LAMPAÇAS
Bragança,,,Nenhuma,RABAL,RABAL
Bragança,,,Nenhuma,REBORDÃOS,REBORDÃOS
Bragança,,,Nenhuma,SALSAS,SALSAS
Bragança,,,Nenhuma,SAMIL,SAMIL
Bragança,,,Nenhuma,SANTA COMBA DE ROSSAS,SANTA COMBA DE ROSSAS
Bragança,,,Nenhuma,SENDAS,SENDAS
Bragança,,,Nenhuma,SERAPICOS,SERAPICOS
Bragança,,,Nenhuma,SORTES,SORTES
Bragança,,,Nenhuma,SÃO PEDRO DE SARRACENOS,SÃO PEDRO DE SARRACENOS
Bragança,,,Nenhuma,ZOIO,ZOIO
Cabeceiras de Basto,ALVITE,UNIÃO DAS FREGUESIAS DE ALVITE E PASSOS,Nenhuma,UNIÃO DAS FREGUESIAS DE ALVITE E PASSOS,ALVITE
Cabeceiras de Basto,PASSOS,UNIÃO DAS FREGUESIAS DE ALVITE E PASSOS,Nenhuma,UNIÃO DAS FREGUESIAS DE ALVITE E PASSOS,ALVITE
Cabeceiras de Basto,ARCO DE BAÚLHE,UNIÃO DAS FREGUESIAS DE ARCO DE BAÚLHE E VILA NUNE,Nenhuma,UNIÃO DAS FREGUESIAS DE ARCO DE BAÚLHE E VILA NUNE,ARCO DE BAÚLHE
Cabeceiras de Basto,VILA NUNE,UNIÃO DAS FREGUESIAS DE ARCO DE BAÚLHE E VILA NUNE,Nenhuma,UNIÃO DAS FREGUESIAS DE ARCO DE BAÚLHE E VILA NUNE,ARCO DE BAÚLHE
Cabeceiras de Basto,GONDIÃES,UNIÃO DAS FREGUESIAS DE GONDIÃES E VILAR DE CUNHAS,Nenhuma,UNIÃO DAS FREGUESIAS DE GONDIÃES E VILAR DE CUNHAS,GONDIÃES
Cabeceiras de Basto,VILAR DE CUNHAS,UNIÃO DAS FREGUESIAS DE GONDIÃES E VILAR DE CUNHAS,Nenhuma,UNIÃO DAS FREGUESIAS DE GONDIÃES E VILAR DE CUNHAS,GONDIÃES
Cabeceiras de Basto,OUTEIRO,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",Nenhuma,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",REFOJOS DE BASTO
Cabeceiras de Basto,PAINZELA,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",Nenhuma,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",REFOJOS DE BASTO
Cabeceiras de Basto,REFOJOS DE BASTO,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",Nenhuma,"UNIÃO DAS FREGUESIAS DE REFOJOS DE BASTO, OUTEIRO E PAINZELA",REFOJOS DE BASTO
Cabeceiras de Basto,,,Nenhuma,ABADIM,ABADIM
Cabeceiras de Basto,,,Nenhuma,BASTO,BASTO
Cabeceiras de Basto,,,Nenhuma,BUCOS,BUCOS
Cabeceiras de Basto,,,Nenhuma,CABECEIRAS DE BASTO,CABECEIRAS DE BASTO
Cabeceiras de Basto,,,Nenhuma,CAVEZ,CAVEZ
Cabeceiras de Basto,,,Nenhuma,FAIA,FAIA
Cabeceiras de Basto,,,Nenhuma,PEDRAÇA,PEDRAÇA
Cabeceiras de Basto,,,Nenhuma,RIO DOURO,RIO DOURO
Cadaval,CERCAL,UNIÃO DAS FREGUESIAS DE LAMAS E CERCAL,Nenhuma,UNIÃO DAS FREGUESIAS DE LAMAS E CERCAL,LAMAS
Cadaval,LAMAS,UNIÃO DAS FREGUESIAS DE LAMAS E CERCAL,Nenhuma,UNIÃO DAS FREGUESIAS DE LAMAS E CERCAL,LAMAS
Cadaval,FIGUEIROS,UNIÃO DAS FREGUESIAS DE PAINHO E FIGUEIROS,Nenhuma,UNIÃO DAS FREGUESIAS DE PAINHO E FIGUEIROS,FIGUEIROS
Cadaval,PAINHO,UNIÃO DAS FREGUESIAS DE PAINHO E FIGUEIROS,Nenhuma,UNIÃO DAS FREGUESIAS DE PAINHO E FIGUEIROS,FIGUEIROS
Cadaval,CADAVAL,UNIÃO DAS FREGUESIAS DO CADAVAL E PÊRO MONIZ,Nenhuma,UNIÃO DAS FREGUESIAS DO CADAVAL E PÊRO MONIZ,CADAVAL
Cadaval,PÊRO MONIZ,UNIÃO DAS FREGUESIAS DO CADAVAL E PÊRO MONIZ,Nenhuma,UNIÃO DAS FREGUESIAS DO CADAVAL E PÊRO MONIZ,CADAVAL
Cadaval,,,Nenhuma,ALGUBER,ALGUBER
Cadaval,,,Nenhuma,PERAL,PERAL
Cadaval,,,Nenhuma,VERMELHA,VERMELHA
Cadaval,,,Nenhuma,VILAR,VILAR
Caldas da Rainha,SALIR DO PORTO,UNIÃO DAS FREGUESIAS DE TORNADA E SALIR DO PORTO,Nenhuma,UNIÃO DAS FREGUESIAS DE TORNADA E SALIR DO PORTO,TORNADA
Caldas da Rainha,TORNADA,UNIÃO DAS FREGUESIAS DE TORNADA E SALIR DO PORTO,Nenhuma,UNIÃO DAS FREGUESIAS DE TORNADA E SALIR DO PORTO,TORNADA
Caldas da Rainha,,,Nenhuma,A DOS FRANCOS,A DOS FRANCOS
Caldas da Rainha,,,Nenhuma,ALVORNINHA,ALVORNINHA
Caldas da Rainha,,,Nenhuma,CARVALHAL BENFEITO,CARVALHAL BENFEITO
Caldas da Rainha,,,Nenhuma,FOZ DO ARELHO,FOZ DO ARELHO
Caldas da Rainha,,,Nenhuma,LANDAL,LANDAL
Caldas da Rainha,,,Nenhuma,NADADOURO,NADADOURO
Caldas da Rainha,,,Nenhuma,SALIR DE MATOS,SALIR DE MATOS
Caldas da Rainha,,,Nenhuma,SANTA CATARINA,SANTA CATARINA
Caldas da Rainha,,,"UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - NOSSA SENHORA DO PÓPULO, COTO E SÃO GREGÓRIO","UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - NOSSA SENHORA DO PÓPULO, COTO E SÃO GREGÓRIO",NOSSA SENHORA DO PÓPULO
Caldas da Rainha,,,UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - SANTO ONOFRE E SERRA DO BOURO,UNIÃO DAS FREGUESIAS DAS CALDAS DA RAINHA - SANTO ONOFRE E SERRA DO BOURO,SANTO ONOFRE
Caldas da Rainha,,,Nenhuma,VIDAIS,VIDAIS
Caminha,ARGA DE BAIXO,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",Nenhuma,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",ARGA DE BAIXO
Caminha,ARGA DE CIMA,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",Nenhuma,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",ARGA DE BAIXO
Caminha,ARGA DE SÃO JOÃO,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",Nenhuma,"UNIÃO DAS FREGUESIAS DE ARGA (BAIXO, CIMA E SÃO JOÃO)",ARGA DE BAIXO
Caminha,CAMINHA (MATRIZ),UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,Nenhuma,UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,CAMINHA (MATRIZ)
Caminha,VILARELHO,UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,Nenhuma,UNIÃO DAS FREGUESIAS DE CAMINHA (MATRIZ) E VILARELHO,CAMINHA (MATRIZ)
Caminha,GONDAR,UNIÃO DAS FREGUESIAS DE GONDAR E ORBACÉM,Nenhuma,UNIÃO DAS FREGUESIAS DE GONDAR E ORBACÉM,GONDAR
Caminha,ORBACÉM,UNIÃO DAS FREGUESIAS DE GONDAR E ORBACÉM,Nenhuma,UNIÃO DAS FREGUESIAS DE GONDAR E ORBACÉM,GONDAR
Caminha,CRISTELO,UNIÃO DAS FREGUESIAS DE MOLEDO E CRISTELO,Nenhuma,UNIÃO DAS FREGUESIAS DE MOLEDO E CRISTELO,MOLEDO
Caminha,MOLEDO,UNIÃO DAS FREGUESIAS DE MOLEDO E CRISTELO,Nenhuma,UNIÃO DAS FREGUESIAS DE MOLEDO E CRISTELO,MOLEDO
Caminha,AZEVEDO,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,Nenhuma,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,VENADE
Caminha,VENADE,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,Nenhuma,UNIÃO DAS FREGUESIAS DE VENADE E AZEVEDO,VENADE
Caminha,,,Nenhuma,ARGELA,ARGELA
Caminha,,,Nenhuma,DEM,DEM
Caminha,,,Nenhuma,LANHELAS,LANHELAS
Caminha,,,Nenhuma,RIBA DE ÂNCORA,RIBA DE ÂNCORA
Caminha,,,Nenhuma,SEIXAS,SEIXAS
Caminha,,,Nenhuma,VILA PRAIA DE ÂNCORA,VILA PRAIA DE ÂNCORA
Caminha,,,Nenhuma,VILAR DE MOUROS,VILAR DE MOUROS
Caminha,,,Nenhuma,VILE,VILE
Caminha,,,Nenhuma,ÂNCORA,ÂNCORA
Campo Maior,,,Nenhuma,NOSSA SENHORA DA EXPECTAÇÃO,NOSSA SENHORA DA EXPECTAÇÃO
Campo Maior,,,Nenhuma,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS,NOSSA SENHORA DA GRAÇA DOS DEGOLADOS
Campo Maior,,,Nenhuma,SÃO JOÃO BAPTISTA,SÃO JOÃO BAPTISTA
Cantanhede,CANTANHEDE,UNIÃO DAS FREGUESIAS DE CANTANHEDE E POCARIÇA,Nenhuma,UNIÃO DAS FREGUESIAS DE CANTANHEDE E POCARIÇA,CANTANHEDE
Cantanhede,POCARIÇA,UNIÃO DAS FREGUESIAS DE CANTANHEDE E POCARIÇA,Nenhuma,UNIÃO DAS FREGUESIAS DE CANTANHEDE E POCARIÇA,CANTANHEDE
Cantanhede,CAMARNEIRA,UNIÃO DAS FREGUESIAS DE COVÕES E CAMARNEIRA,Nenhuma,UNIÃO DAS FREGUESIAS DE COVÕES E CAMARNEIRA,COVÕES
Cantanhede,COVÕES,UNIÃO DAS FREGUESIAS DE COVÕES E CAMARNEIRA,Nenhuma,UNIÃO DAS FREGUESIAS DE COVÕES E CAMARNEIRA,COVÕES
Cantanhede,OUTIL,UNIÃO DAS FREGUESIAS DE PORTUNHOS E OUTIL,Nenhuma,UNIÃO DAS FREGUESIAS DE PORTUNHOS E OUTIL,PORTUNHOS
Cantanhede,PORTUNHOS,UNIÃO DAS FREGUESIAS DE PORTUNHOS E OUTIL,Nenhuma,UNIÃO DAS FREGUESIAS DE PORTUNHOS E OUTIL,PORTUNHOS
Cantanhede,BOLHO,UNIÃO DAS FREGUESIAS DE SEPINS E BOLHO,Nenhuma,UNIÃO DAS FREGUESIAS DE SEPINS E BOLHO,SEPINS
Cantanhede,SEPINS,UNIÃO DAS FREGUESIAS DE SEPINS E BOLHO,Nenhuma,UNIÃO DAS FREGUESIAS DE SEPINS E BOLHO,SEPINS
Cantanhede,CORTICEIRO DE CIMA,UNIÃO DAS FREGUESIAS DE VILAMAR E CORTICEIRO DE CIMA,Nenhuma,UNIÃO DAS FREGUESIAS DE VILAMAR E CORTICEIRO DE CIMA,VILAMAR
Cantanhede,VILAMAR,UNIÃO DAS FREGUESIAS DE VILAMAR E CORTICEIRO DE CIMA,Nenhuma,UNIÃO DAS FREGUESIAS DE VILAMAR E CORTICEIRO DE CIMA,VILAMAR
Cantanhede,,,Nenhuma,ANÇÃ,ANÇÃ
Cantanhede,,,Nenhuma,CADIMA,CADIMA
Cantanhede,,,Nenhuma,CORDINHÃ,CORDINHÃ
Cantanhede,,,Nenhuma,FEBRES,FEBRES
Cantanhede,,,Nenhuma,MURTEDE,MURTEDE
Cantanhede,,,Nenhuma,OURENTÃ,OURENTÃ
Cantanhede,,,Nenhuma,SANGUINHEIRA,SANGUINHEIRA
Cantanhede,,,Nenhuma,SÃO CAETANO,SÃO CAETANO
Cantanhede,,,Nenhuma,TOCHA,TOCHA
Carrazeda de Ansiães,AMEDO,UNIÃO DAS FREGUESIAS DE AMEDO E ZEDES,Nenhuma,UNIÃO DAS FREGUESIAS DE AMEDO E ZEDES,AMEDO
Carrazeda de Ansiães,ZEDES,UNIÃO DAS FREGUESIAS DE AMEDO E ZEDES,Nenhuma,UNIÃO DAS FREGUESIAS DE AMEDO E ZEDES,AMEDO
Carrazeda de Ansiães,BELVER,UNIÃO DAS FREGUESIAS DE BELVER E MOGO DE MALTA,Nenhuma,UNIÃO DAS FREGUESIAS DE BELVER E MOGO DE MALTA,BELVER
Carrazeda de Ansiães,MOGO DE MALTA,UNIÃO DAS FREGUESIAS DE BELVER E MOGO DE MALTA,Nenhuma,UNIÃO DAS FREGUESIAS DE BELVER E MOGO DE MALTA,BELVER
Carrazeda de Ansiães,CASTANHEIRO,UNIÃO DAS FREGUESIAS DE CASTANHEIRO DO NORTE E RIBALONGA,Nenhuma,UNIÃO DAS FREGUESIAS DE CASTANHEIRO DO NORTE E RIBALONGA,CASTANHEIRO
Carrazeda de Ansiães,RIBALONGA,UNIÃO DAS FREGUESIAS DE CASTANHEIRO DO NORTE E RIBALONGA,Nenhuma,UNIÃO DAS FREGUESIAS DE CASTANHEIRO DO NORTE E RIBALONGA,CASTANHEIRO
Carrazeda de Ansiães,BEIRA GRANDE,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",Nenhuma,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",LAVANDEIRA
Carrazeda de Ansiães,LAVANDEIRA,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",Nenhuma,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",LAVANDEIRA
Carrazeda de Ansiães,SELORES,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",Nenhuma,"UNIÃO DAS FREGUESIAS DE LAVANDEIRA, BEIRA GRANDE E SELORES",LAVANDEIRA
Carrazeda de Ansiães,,,Nenhuma,CARRAZEDA DE ANSIÃES,CARRAZEDADEANSIÃES
Carrazeda de Ansiães,,,Nenhuma,FONTE LONGA,FONTE LONGA
Carrazeda de Ansiães,,,Nenhuma,LINHARES,LINHARES
Carrazeda de Ansiães,,,Nenhuma,MARZAGÃO,MARZAGÃO
Carrazeda de Ansiães,,,Nenhuma,PARAMBOS,PARAMBOS
Carrazeda de Ansiães,,,Nenhuma,PEREIROS,PEREIROS
Carrazeda de Ansiães,,,Nenhuma,PINHAL DO NORTE,PINHAL DO NORTE
Carrazeda de Ansiães,,,Nenhuma,POMBAL,POMBAL
Carrazeda de Ansiães,,,Nenhuma,SEIXO DE ANSIÃES,SEIXO DE ANSIÃES
Carrazeda de Ansiães,,,Nenhuma,VILARINHO DA CASTANHEIRA,VILARINHO DA CASTANHEIRA
Carregal do Sal,CURRELOS,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",Nenhuma,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",CURRELOS
Carregal do Sal,PAPÍZIOS,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",Nenhuma,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",CURRELOS
Carregal do Sal,SOBRAL,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",Nenhuma,"UNIÃO DAS FREGUESIAS DE CURRELOS, PAPÍZIOS E SOBRAL",CURRELOS
Carregal do Sal,,,Nenhuma,BEIJÓS,BEIJÓS
Carregal do Sal,,,Nenhuma,CABANAS DE VIRIATO,CABANAS DE VIRIATO
Carregal do Sal,,,Nenhuma,OLIVEIRA DO CONDE,OLIVEIRA DO CONDE
Carregal do Sal,,,Nenhuma,PARADA,PARADA
Cartaxo,EREIRA,UNIÃO DAS FREGUESIAS DE EREIRA E LAPA,Nenhuma,UNIÃO DAS FREGUESIAS DE EREIRA E LAPA,EREIRA
Cartaxo,LAPA,UNIÃO DAS FREGUESIAS DE EREIRA E LAPA,Nenhuma,UNIÃO DAS FREGUESIAS DE EREIRA E LAPA,EREIRA
Cartaxo,CARTAXO,UNIÃO DAS FREGUESIAS DO CARTAXO E VALE DA PINTA,Nenhuma,UNIÃO DAS FREGUESIAS DO CARTAXO E VALE DA PINTA,VALE DA PINTA
Cartaxo,VALE DA PINTA,UNIÃO DAS FREGUESIAS DO CARTAXO E VALE DA PINTA,Nenhuma,UNIÃO DAS FREGUESIAS DO CARTAXO E VALE DA PINTA,VALE DA PINTA
Cartaxo,,,Nenhuma,PONTÉVEL,PONTÉVEL
Cartaxo,,,Nenhuma,VALADA,VALADA
Cartaxo,,,Nenhuma,VALE DA PEDRA,VALE DA PEDRA
Cartaxo,,,Nenhuma,VILA CHÃ DE OURIQUE,VILA CHÃ DE OURIQUE
Cascais,CARCAVELOS,UNIÃO DAS FREGUESIAS DE CARCAVELOS E PAREDE,Nenhuma,UNIÃO DAS FREGUESIAS DE CARCAVELOS E PAREDE,CARCAVELOS
Cascais,PAREDE,UNIÃO DAS FREGUESIAS DE CARCAVELOS E PAREDE,Nenhuma,UNIÃO DAS FREGUESIAS DE CARCAVELOS E PAREDE,CARCAVELOS
Cascais,CASCAIS,UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL,Nenhuma,UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL,CASCAIS
Cascais,ESTORIL,UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL,Nenhuma,UNIÃO DAS FREGUESIAS DE CASCAIS E ESTORIL,CASCAIS
Cascais,,,Nenhuma,ALCABIDECHE,ALCABIDECHE
Cascais,,,Nenhuma,SÃO DOMINGOS DE RANA,SÃO DOMINGOS DE RANA
Castanheira de Pêra,CASTANHEIRA DE PÊRA,UNIÃO DAS FREGUESIAS DE CASTANHEIRA DE PÊRA E COENTRAL,Nenhuma,UNIÃO DAS FREGUESIAS DE CASTANHEIRA DE PÊRA E COENTRAL,CASTANHEIRA DE PÊRA
Castanheira de Pêra,COENTRAL,UNIÃO DAS FREGUESIAS DE CASTANHEIRA DE PÊRA E COENTRAL,Nenhuma,UNIÃO DAS FREGUESIAS DE CASTANHEIRA DE PÊRA E COENTRAL,CASTANHEIRA DE PÊRA
Castelo Branco,CEBOLAIS DE CIMA,UNIÃO DAS FREGUESIAS DE CEBOLAIS DE CIMA E RETAXO,Nenhuma,UNIÃO DAS FREGUESIAS DE CEBOLAIS DE CIMA E RETAXO,CEBOLAIS DE CIMA
Castelo Branco,RETAXO,UNIÃO DAS FREGUESIAS DE CEBOLAIS DE CIMA E RETAXO,Nenhuma,UNIÃO DAS FREGUESIAS DE CEBOLAIS DE CIMA E RETAXO,CEBOLAIS DE CIMA
Castelo Branco,ESCALOS DE BAIXO,UNIÃO DAS FREGUESIAS DE ESCALOS DE BAIXO E MATA,Nenhuma,UNIÃO DAS FREGUESIAS DE ESCALOS DE BAIXO E MATA,ESCALOS DE BAIXO
Castelo Branco,MATA,UNIÃO DAS FREGUESIAS DE ESCALOS DE BAIXO E MATA,Nenhuma,UNIÃO DAS FREGUESIAS DE ESCALOS DE BAIXO E MATA,ESCALOS DE BAIXO
Castelo Branco,ESCALOS DE CIMA,UNIÃO DAS FREGUESIAS DE ESCALOS DE CIMA E LOUSA,Nenhuma,UNIÃO DAS FREGUESIAS DE ESCALOS DE CIMA E LOUSA,ESCALOS DE CIMA
Castelo Branco,LOUSA,UNIÃO DAS FREGUESIAS DE ESCALOS DE CIMA E LOUSA,Nenhuma,UNIÃO DAS FREGUESIAS DE ESCALOS DE CIMA E LOUSA,ESCALOS DE CIMA
Castelo Branco,FREIXIAL DO CAMPO,UNIÃO DAS FREGUESIAS DE FREIXIAL E JUNCAL DO CAMPO,Nenhuma,UNIÃO DAS FREGUESIAS DE FREIXIAL E JUNCAL DO CAMPO,FREIXIAL DO CAMPO
Castelo Branco,JUNCAL DO CAMPO,UNIÃO DAS FREGUESIAS DE FREIXIAL E JUNCAL DO CAMPO,Nenhuma,UNIÃO DAS FREGUESIAS DE FREIXIAL E JUNCAL DO CAMPO,FREIXIAL DO CAMPO
Castelo Branco,NINHO DO AÇOR,UNIÃO DAS FREGUESIAS DE NINHO DO AÇOR E SOBRAL DO CAMPO,Nenhuma,UNIÃO DAS FREGUESIAS DE NINHO DO AÇOR E SOBRAL DO CAMPO,NINHO DO AÇOR
Castelo Branco,SOBRAL DO CAMPO,UNIÃO DAS FREGUESIAS DE NINHO DO AÇOR E SOBRAL DO CAMPO,Nenhuma,UNIÃO DAS FREGUESIAS DE NINHO DO AÇOR E SOBRAL DO CAMPO,NINHO DO AÇOR
Castelo Branco,CAFEDE,UNIÃO DAS FREGUESIAS DE PÓVOA DE RIO DE MOINHOS E CAFEDE,Nenhuma,UNIÃO DAS FREGUESIAS DE PÓVOA DE RIO DE MOINHOS E CAFEDE,PÓVOA DE RIO DE MOINHOS
Castelo Branco,PÓVOA DE RIO DE MOINHOS,UNIÃO DAS FREGUESIAS DE PÓVOA DE RIO DE MOINHOS E CAFEDE,Nenhuma,UNIÃO DAS FREGUESIAS DE PÓVOA DE RIO DE MOINHOS E CAFEDE,PÓVOA DE RIO DE MOINHOS
Castelo Branco,,,Nenhuma,ALCAINS,ALCAINS
Castelo Branco,,,Nenhuma,ALMACEDA,ALMACEDA
Castelo Branco,,,Nenhuma,BENQUERENÇAS,BENQUERENÇAS
Castelo Branco,,,Nenhuma,CASTELO BRANCO,CASTELO BRANCO
Castelo Branco,,,Nenhuma,LARDOSA,LARDOSA
Castelo Branco,,,Nenhuma,LOURIÇAL DO CAMPO,LOURIÇAL DO CAMPO
Castelo Branco,,,Nenhuma,MALPICA DO TEJO,MALPICA DO TEJO
Castelo Branco,,,Nenhuma,MONFORTE DA BEIRA,MONFORTE DA BEIRA
Castelo Branco,,,Nenhuma,SALGUEIRO DO CAMPO,SALGUEIRO DO CAMPO
Castelo Branco,,,Nenhuma,SANTO ANDRÉ DAS TOJEIRAS,SANTO ANDRÉ DAS TOJEIRAS
Castelo Branco,,,Nenhuma,SARZEDAS,SARZEDAS
Castelo Branco,,,Nenhuma,SÃO VICENTE DA BEIRA,SÃO VICENTE DA BEIRA
Castelo Branco,,,Nenhuma,TINALHAS,TINALHAS
Castelo de Paiva,PARAÍSO,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",Nenhuma,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",RAIVA
Castelo de Paiva,PEDORIDO,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",Nenhuma,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",RAIVA
Castelo de Paiva,RAIVA,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",Nenhuma,"UNIÃO DAS FREGUESIAS DE RAIVA, PEDORIDO E PARAÍSO",RAIVA
Castelo de Paiva,BAIRROS,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,Nenhuma,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,SOBRADO
Castelo de Paiva,SOBRADO,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,Nenhuma,UNIÃO DAS FREGUESIAS DE SOBRADO E BAIRROS,SOBRADO
Castelo de Paiva,,,Nenhuma,FORNOS,FORNOS
Castelo de Paiva,,,Nenhuma,REAL,REAL
Castelo de Paiva,,,Nenhuma,SANTA MARIA DE SARDOURA,SANTA MARIA DE SARDOURA
Castelo de Paiva,,,Nenhuma,SÃO MARTINHO DE SARDOURA,SÃO MARTINHO DE SARDOURA
Castelo de Vide,,,Nenhuma,NOSSA SENHORA DA GRAÇA DE PÓVOA E MEADAS,NOSSA SENHORA DA GRAÇA DE PÓVOA E MEADAS
Castelo de Vide,,,Nenhuma,SANTA MARIA DA DEVESA,SANTA MARIA DA DEVESA
Castelo de Vide,,,Nenhuma,SANTIAGO MAIOR,SANTIAGO MAIOR
Castelo de Vide,,,Nenhuma,SÃO JOÃO BAPTISTA,SÃO JOÃO BAPTISTA
Castro Daire,ALVA,"UNIÃO DAS FREGUESIAS DE MAMOUROS, ALVA E RIBOLHOS",Nenhuma,"UNIÃO DAS FREGUESIAS DE MAMOUROS, ALVA E RIBOLHOS",MAMOUROS
Castro Daire,MAMOUROS,"UNIÃO DAS FREGUESIAS DE MAMOUROS, ALVA E RIBOLHOS",Nenhuma,"UNIÃO DAS FREGUESIAS DE MAMOUROS, ALVA E RIBOLHOS",MAMOUROS
Castro Daire,RIBOLHOS,"UNIÃO DAS FREGUESIAS DE MAMOUROS, ALVA E RIBOLHOS",Nenhuma,"UNIÃO DAS FREGUESIAS DE MAMOUROS, ALVA E RIBOLHOS",MAMOUROS
Castro Daire,MEZIO,UNIÃO DAS FREGUESIAS DE MEZIO E MOURA MORTA,Nenhuma,UNIÃO DAS FREGUESIAS DE MEZIO E MOURA MORTA,MEZIO
Castro Daire,MOURA MORTA,UNIÃO DAS FREGUESIAS DE MEZIO E MOURA MORTA,Nenhuma,UNIÃO DAS FREGUESIAS DE MEZIO E MOURA MORTA,MEZIO
Castro Daire,ESTER,UNIÃO DAS FREGUESIAS DE PARADA DE ESTER E ESTER,Nenhuma,UNIÃO DAS FREGUESIAS DE PARADA DE ESTER E ESTER,PARADA DE ESTER
Castro Daire,PARADA DE ESTER,UNIÃO DAS FREGUESIAS DE PARADA DE ESTER E ESTER,Nenhuma,UNIÃO DAS FREGUESIAS DE PARADA DE ESTER E ESTER,PARADA DE ESTER
Castro Daire,ERMIDA,UNIÃO DAS FREGUESIAS DE PICÃO E ERMIDA,Nenhuma,UNIÃO DAS FREGUESIAS DE PICÃO E ERMIDA,PICÃO
