municipio,antiga,nova,territorio,total,sede
Alandroal,JUROMENHA (NOSSA SENHORA DO LORETO),"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",Nenhuma,"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO)
Alandroal,SÃO BRÁS DOS MATOS (MINA DO BUGALHO),"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",Nenhuma,"UNIÃO DAS FREGUESIAS DE ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO), SÃO BRÁS DOS MATOS (MINA DO BUGALHO) E JUROMENHA (NOSSA SENHORA DO LORETO)",ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO)
Alandroal,,,Nenhuma,CAPELINS (SANTO ANTÓNIO),CAPELINS (SANTO ANTÓNIO)
Alandroal,,,Nenhuma,SANTIAGO MAIOR,SANTIAGO MAIOR
Alandroal,,,Nenhuma,TERENA (SÃO PEDRO),TERENA (SÃO PEDRO)
Albergaria-a-Velha,ALBERGARIA-A-VELHA,ALBERGARIA-A-VELHA E VALMAIOR,Nenhuma,ALBERGARIA-A-VELHA E VALMAIOR,ALBERGARIA-A-VELHA
Albergaria-a-Velha,VALMAIOR,ALBERGARIA-A-VELHA E VALMAIOR,Nenhuma,ALBERGARIA-A-VELHA E VALMAIOR,ALBERGARIA-A-VELHA
Albergaria-a-Velha,FROSSOS,SÃO JOÃO DE LOURE E FROSSOS,Nenhuma,SÃO JOÃO DE LOURE E FROSSOS,SÃO JOÃO DE LOURE
Albergaria-a-Velha,SÃO JOÃO DE LOURE,SÃO JOÃO DE LOURE E FROSSOS,Nenhuma,SÃO JOÃO DE LOURE E FROSSOS,SÃO JOÃO DE LOURE
Albergaria-a-Velha,,,Nenhuma,ALQUERUBIM,ALQUERUBIM
Albergaria-a-Velha,,,Nenhuma,ANGEJA,ANGEJA
Albergaria-a-Velha,,,Nenhuma,BRANCA,BRANCA
Albergaria-a-Velha,,,Nenhuma,RIBEIRA DE FRÁGUAS,RIBEIRA DE FRÁGUAS
Albufeira,ALBUFEIRA,ALBUFEIRA E OLHOS DE ÁGUA,Nenhuma,ALBUFEIRA E OLHOS DE ÁGUA,ALBUFEIRA
Albufeira,OLHOS DE ÁGUA,ALBUFEIRA E OLHOS DE ÁGUA,Nenhuma,ALBUFEIRA E OLHOS DE ÁGUA,ALBUFEIRA
Albufeira,,,Nenhuma,FERREIRAS,FERREIRAS
Albufeira,,,Nenhuma,GUIA,GUIA
Albufeira,,,Nenhuma,PADERNE,PADERNE
Alcanena,ALCANENA,UNIÃO DAS FREGUESIAS DE ALCANENA E VILA MOREIRA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCANENA E VILA MOREIRA,ALCANENA
Alcanena,VILA MOREIRA,UNIÃO DAS FREGUESIAS DE ALCANENA E VILA MOREIRA,Nenhuma,UNIÃO DAS FREGUESIAS DE ALCANENA E VILA MOREIRA,ALCANENA
Alcanena,ESPINHEIRO,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",Nenhuma,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",MALHOU
Alcanena,LOURICEIRA,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",Nenhuma,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",MALHOU
Alcanena,MALHOU,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",Nenhuma,"UNIÃO DAS FREGUESIAS DE MALHOU, LOURICEIRA E ESPINHEIRO",MALHOU
Alcanena,,,Nenhuma,BUGALHOS,BUGALHOS
Alcanena,,,Nenhuma,MINDE,MINDE
Alcanena,,,Nenhuma,MOITAS VENDA,MOITAS VENDA
Alcanena,,,Nenhuma,MONSANTO,MONSANTO
Alcanena,,,Nenhuma,SERRA DE SANTO ANTÓNIO,SERRA DE SANTO ANTÓNIO
Alcobaça,ALJUBARROTA (PRAZERES),ALJUBARROTA,Nenhuma,ALJUBARROTA,ALJUBARROTA
Alcobaça,ALJUBARROTA (SÃO VICENTE),ALJUBARROTA,Nenhuma,ALJUBARROTA,ALJUBARROTA
